iter	Passed	Remaining
1409	38498	16109
1410	38523	16080
1411	38548	16052
1412	38573	16024
1413	38600	15997
1414	38627	15969
1415	38652	15941
1416	38677	15913
1417	38703	15885
1418	38728	15857
1419	38755	15829
1420	38782	15802
1421	38809	15774
1422	38837	15747
1423	38864	15720
1424	38892	15693
1425	38919	15666
1426	38946	15638
1427	38973	15611
1428	39000	15583
1429	39027	15556
1430	39055	15529
1431	39083	15502
1432	39109	15474
1433	39141	15448
1434	39168	15421
1435	39193	15393
1436	39219	15365
1437	39244	15337
1438	39269	15309
1439	39296	15282
1440	39325	15255
1441	39351	15227
1442	39376	15199
1443	39402	15171
1444	39428	15143
1445	39454	15115
1446	39479	15087
1447	39504	15059
1448	39530	15032
1449	39555	15003
1450	39581	14976
1451	39606	14947
1452	39632	14920
1453	39657	14892
1454	39684	14864
1455	39710	14837
1456	39736	14809
1457	39762	14781
1458	39789	14753
1459	39815	14726
1460	39842	14698
1461	39869	14671
1462	39897	14644
1463	39924	14617
1464	39950	14589
1465	39978	14562
1466	40004	14534
1467	40031	14507
1468	40057	14479
1469	40085	14452
1470	40111	14425
1471	40139	14398
1472	40167	14370
1473	40193	14343
1474	40220	14315
1475	40246	14288
1476	40273	14260
1477	40302	14233
1478	40333	14207
1479	40363	14181
1480	40392	14154
1481	40419	14127
1482	40447	14100
1483	40475	14073
1484	40503	14046
1485	40532	14019
1486	40559	13992
1487	40588	13965
1488	40616	13938
1489	40643	13911
1490	40674	13885
1491	40701	13858
1492	40729	13830
1493	40756	13803
1494	40785	13776
1495	40815	13750
1496	40843	13723
1497	40873	13697
1498	40901	13670
1499	40930	13643
1500	40958	13616
1501	40988	13590
1502	41016	13563
1503	41045	13536
1504	41074	13509
1505	41102	13482
1506	41131	13455
1507	41161	13429
1508	41188	13402
1509	41216	13374
1510	41243	13347
1511	41270	13319
1512	41303	13294
1513	41336	13269
1514	41368	13243
1515	41399	13217
1516	41428	13190
1517	41456	13163
1518	41484	13136
1519	41512	13109
1520	41539	13081
1521	41566	13054
1522	41594	13027
1523	41621	12999
1524	41649	12972
1525	41680	12946
1526	41710	12920
1527	41738	12892
1528	41765	12865
1529	41795	12839
1530	41825	12812
1531	41856	12786
1532	41884	12759
1533	41915	12733
1534	41942	12705
1535	41969	12678
1536	41994	12650
1537	42019	12622
1538	42045	12594
1539	42071	12566
1540	42097	12539
1541	42125	12512
1542	42153	12484
1543	42184	12458
1544	42212	12431
1545	42239	12404
1546	42268	12377
1547	42296	12350
1548	42327	12324
1549	42356	12296
1550	42384	12270
1551	42414	12243
1552	42442	12216
1553	42469	12188
1554	42496	12161
1555	42523	12133
1556	42550	12106
1557	42577	12079
1558	42603	12051
1559	42632	12024
1560	42662	11998
1561	42691	11971
1562	42717	11943
1563	42743	11915
1564	42770	11888
1565	42801	11861
1566	42829	11834
1567	42857	11807
1568	42887	11781
1569	42916	11754
1570	42945	11727
1571	42973	11700
1572	43001	11673
1573	43030	11645
1574	43057	11618
1575	43085	11591
1576	43116	11565
1577	43144	11538
1578	43172	11510
1579	43199	11483
1580	43228	11456
1581	43257	11429
1582	43287	11402
1583	43317	11376
1584	43345	11349
1585	43372	11321
1586	43399	11294
1587	43428	11267
1588	43455	11239
1589	43482	11212
1590	43508	11184
1591	43536	11157
1592	43564	11130
1593	43591	11102
1594	43617	11075
1595	43644	11047
1596	43671	11020
1597	43697	10992
1598	43724	10965
1599	43750	10937
1600	43777	10910
1601	43805	10882
1602	43831	10855
1603	43858	10827
1604	43884	10800
1605	43910	10772
1606	43937	10745
1607	43964	10717
1608	43990	10690
1609	44016	10662
1610	44043	10634
1611	44069	10607
1612	44095	10579
1613	44122	10552
1614	44149	10524
1615	44177	10497
1616	44206	10470
1617	44236	10443
1618	44262	10416
1619	44291	10389
1620	44320	10362
1621	44347	10335
1622	44374	10307
1623	44401	10280
1624	44429	10252
1625	44456	10225
1626	44482	10197
1627	44508	10170
1628	44536	10142
1629	44563	10115
1630	44591	10088
1631	44618	10060
1632	44644	10033
1633	44671	10005
1634	44698	9978
1635	44724	9950
1636	44751	9923
1637	44778	9896
1638	44805	9868
1639	44831	9841
1640	44857	9813
1641	44883	9785
1642	44910	9758
1643	44936	9730
1644	44963	9703
1645	44991	9676
1646	45019	9648
1647	45047	9621
1648	45075	9594
1649	45103	9567
1650	45132	9540
1651	45163	9513
1652	45192	9486
1653	45220	9459
1654	45248	9432
1655	45277	9405
1656	45307	9378
1657	45336	9351
1658	45364	9324
1659	45391	9297
1660	45419	9269
1661	45448	9242
1662	45476	9215
